id;slug;type;position;data;created_at;updated_at
p1786100984662;Little Singham ke Bahubali Friends;movie;6;"{""allowComments"":true,""banner"":""https://i.ytimg.com/vi/ehIb8VJr0ZU/maxresdefault.jpg"",""comingSoon"":""14 Nov 2020"",""content"":"""",""downloadImage"":"""",""downloadUrl"":"""",""driveUrl"":"""",""duration"":"""",""encodedBy"":""Anime Cartoon"",""episodes"":[],""fileSize"":"""",""genres"":[""Animation"",""Kids""],""hidden"":false,""id"":""p1786100984662"",""languages"":""Hindi Tamil Telugu Kannada English  "",""ott"":""Prime Video"",""poster"":""https://jiotvimages.cdn.jio.com/imagespublic/4/6/40ed815bea6d5ffba529516106a84b0c_1731653970186_p_medium.jpg"",""promoVideo"":"""",""quality"":""1080p FHD"",""releaseDate"":""14 Nov 2020"",""showViews"":true,""slug"":""Little Singham ke Bahubali Friends"",""telegramUrl"":"""",""title"":""Little Singham ke Bahubali Friends Full Movie Watch Online "",""type"":""movie"",""year"":""2020""}";2026-08-07 11:10:59.07436+00;2026-08-08 11:34:50.602844+00
p1786102930085;LittleSinghamSinghamversevsKaalverse;series;8;"{""allowComments"":true,""banner"":""https://cdn.beacons.ai/user_content/9ySQwzQl9eOrshj9JktZk0f0W4y1/referenced_images/4c4682e4-99b9-4f24-a4d0-4ea92ffcd030__link-in-bio__image-block__home__40bc8313-2808-41cc-81c3-c2d5a4c9a82e__01abc67c-c199-4c51-bdd0-ead9c51b7ae5.jpg?t=1770130950022"",""comingSoon"":""9th march 2025"",""content"":"""",""downloadImage"":"""",""downloadUrl"":"""",""driveUrl"":"""",""duration"":""46 Minutes (Each Episodes)"",""encodedBy"":""Anime Cartoon"",""episodes"":[{""description"":""Part One: OG Kaal plots immortality with the Red Moon."",""label"":""Singhamverse vs. Kaalverse Pt1"",""thumbnail"":""https://cdn.beacons.ai/user_content/9ySQwzQl9eOrshj9JktZk0f0W4y1/referenced_images/2fa1c048-33e3-4d17-8a2b-8d652784cd0c__link-in-bio__image-block__home__40bc8313-2808-41cc-81c3-c2d5a4c9a82e__7f97ad11-59b3-41d3-ab2c-4596ee3a89e3.jpg"",""url"":""""},{""description"":""Part Two: In the Vampire World, Little Singham meets Raven and Cherry."",""label"":""Singhamverse vs. Kaalverse Pt2"",""thumbnail"":""https://cdn.beacons.ai/user_content/9ySQwzQl9eOrshj9JktZk0f0W4y1/referenced_images/fe96114c-7c4f-4e68-95d6-0998ef92e974__link-in-bio__image-block__home__40bc8313-2808-41cc-81c3-c2d5a4c9a82e__1f3354a9-0a7e-45f3-b09f-ac61af7a2a5f.jpg"",""url"":""""},{""description"":""Part Three: Little Singham, Ronin, Dragon and Shekti battl a revived Kaal."",""label"":""Singhamverse vs. Kaalverse Pt3"",""thumbnail"":""https://cdn.beacons.ai/user_content/9ySQwzQl9eOrshj9JktZk0f0W4y1/referenced_images/85a2877e-e9eb-4ac9-95f9-903ddbb992c7__link-in-bio__image-block__home__40bc8313-2808-41cc-81c3-c2d5a4c9a82e__43804a1a-b77b-4f52-9539-8659a048f5b9.jpg"",""url"":""""}],""fileSize"":""900MB-1.6GB (Each Episodes)"",""genres"":[""Animation"",""Kids""],""hidden"":false,""id"":""p1786102930085"",""languages"":""Hindi Tamil Telugu Kannada  Malayalam Marathi English"",""ott"":""Discovery plus "",""poster"":""https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj6_p2XJBkY1yVgcueKapFfNAM_Xo0EPpixTbtGS9i7eLC0B8EiRZ81myUXF3DqHF7UQUOhoRnF0ssX341tcIK_B6KoeXD_aFsdrFNppsuHGOKGCFCF7EFlv5XJAG33Y__QnpsEOIVEgRFzIz_ZSHFVu_8PjXGPx-mNH9N2ttqmBAqEzl4ndgA89_bPl2Y/w222-h320/14595.jpg"",""promoVideo"":"""",""quality"":""1080p FHD"",""releaseDate"":""9th march 2025"",""showViews"":true,""slug"":""LittleSinghamSinghamversevsKaalverse"",""telegramUrl"":"""",""title"":""Little Singham: Singhamverse vs Kaalverse "",""type"":""series"",""year"":""2026""}";2026-08-07 11:44:37.797922+00;2026-08-08 11:34:50.602844+00
p1786104907255;Chhota-Bheem-Maha-Shaitaan-Ka-Mahayudh ;movie;9;"{""allowComments"":true,""banner"":""https://cdn.beacons.ai/user_content/9ySQwzQl9eOrshj9JktZk0f0W4y1/referenced_images/d74de98c-7692-4811-a315-f6bb60ea3708__link-in-bio__image-block__home__40bc8313-2808-41cc-81c3-c2d5a4c9a82e__639516b2-27f8-4e2e-8bda-e6899dbe747e.jpg?t=1768656044339"",""comingSoon"":""13 August 2023"",""content"":"""",""downloadImage"":""https://i.ytimg.com/vi/Zu4KPlmgumY/maxresdefault.jpg"",""downloadUrl"":"""",""driveUrl"":"""",""duration"":""65 minutes"",""encodedBy"":""Anime Cartoon"",""episodes"":[],""fileSize"":""1.3GB"",""genres"":[""Animation"",""Kids""],""hidden"":false,""id"":""p1786104907255"",""languages"":""Hindi Tamil Telugu Kannada Malayalam Marathi English "",""ott"":""Netflix"",""poster"":""https://cdn.beacons.ai/user_content/9ySQwzQl9eOrshj9JktZk0f0W4y1/referenced_images/08ab08aa-7ce4-41b3-a3a0-870fa679bc29__link-in-bio__image-block__home__243fdd7f-06b7-4d96-8f4e-e7d60c368adc__24e56f02-83ea-4b53-bf75-bff46c809df1.jpg?t=1786106287223"",""promoVideo"":"""",""quality"":""1080p FHD"",""releaseDate"":""13 August 2023"",""showViews"":true,""slug"":""Chhota-Bheem-Maha-Shaitaan-Ka-Mahayudh "",""telegramUrl"":"""",""title"":""Chhota Bheem: Maha Shaitaan Ka Mahayudh "",""type"":""movie"",""year"":""2026""}";2026-08-07 12:19:54.13944+00;2026-08-08 11:34:50.602844+00
p1786005503402;new-movie-1786005503402;movie;1;"{""allowComments"":true,""banner"":""https://iili.io/C88rs6B.md.jpg"",""content"":"""",""downloadImage"":"""",""downloadUrl"":""https://ksr.indevs.in/m3u/?stream=475137"",""driveUrl"":"""",""duration"":"""",""encodedBy"":""Anime Cartoon"",""episodes"":[],""fileSize"":"""",""genres"":[""Animation"",""Kids""],""hidden"":false,""id"":""p1786005503402"",""languages"":""Hindi"",""ott"":"""",""poster"":""https://httpslittlesingham.wordpress.com/wp-content/uploads/2026/08/file_0000000031ac820b8426c5afffc662168819459155998140962.png"",""promoVideo"":"""",""quality"":""1080p FHD"",""releaseDate"":"""",""showViews"":true,""slug"":""new-movie-1786005503402"",""telegramUrl"":"""",""title"":""New Movie"",""type"":""movie"",""year"":""2026""}";2026-08-06 08:39:09.824318+00;2026-08-08 11:34:50.602844+00
p1786104909386;Chhota-Bheem-Krishna-vs-Zimbara;movie;10;"{""allowComments"":true,""banner"":""https://www.chhotabheem.com/images/movie/709x370/chhota-bheem-and-krishna-vs-zimbara.jpg"",""content"":"""",""downloadImage"":"""",""downloadUrl"":"""",""driveUrl"":"""",""duration"":"""",""encodedBy"":""Anime Cartoon"",""episodes"":[],""fileSize"":"""",""genres"":[""Animation"",""Kids""],""hidden"":false,""id"":""p1786104909386"",""languages"":""Hindi"",""ott"":"""",""poster"":""https://play-lh.googleusercontent.com/vs7661n1iYNBpQZO1ls59J1-ow55UrhI5fE-DnvFKQo-Q5nEAg6kmUdQMgaYVnrGj3tShqUdMhpws6gv8o0"",""promoVideo"":"""",""quality"":""1080p FHD"",""releaseDate"":"""",""showViews"":true,""slug"":""Chhota-Bheem-Krishna-vs-Zimbara"",""telegramUrl"":"""",""title"":""Chhota Bheem Krishna vs Zimbara"",""type"":""movie"",""year"":""2026""}";2026-08-07 12:19:54.13944+00;2026-08-08 11:34:50.602844+00
p1786188818656;new-anime-1786188818657;anime;12;"{""allowComments"":true,""banner"":""https://iili.io/C88rs6B.md.jpg"",""content"":"""",""downloadImage"":"""",""downloadUrl"":"""",""driveUrl"":"""",""duration"":"""",""encodedBy"":""Anime Cartoon"",""episodes"":[],""fileSize"":"""",""genres"":[""Animation"",""Kids""],""hidden"":false,""id"":""p1786188818656"",""languages"":""Hindi"",""movieLinks"":[{""name"":""Little Singham "",""photo"":""https://cdn.beacons.ai/user_content/9ySQwzQl9eOrshj9JktZk0f0W4y1/referenced_images/08ab08aa-7ce4-41b3-a3a0-870fa679bc29__link-in-bio__image-block__home__243fdd7f-06b7-4d96-8f4e-e7d60c368adc__24e56f02-83ea-4b53-bf75-bff46c809df1.jpg?t=1786106287223"",""url"":""https://drive.google.com/uc?id=1f8fwZkglsREPE8RrjDYHkjYr3DOTVrIM&export=download""}],""ott"":"""",""poster"":""https://i.postimg.cc/52d96v0r/Avatar-Aang-The-Last-Airbender-Anime-Cartoon.jpg"",""promoVideo"":"""",""quality"":""1080p FHD"",""releaseDate"":"""",""showViews"":true,""slug"":""new-anime-1786188818657"",""telegramUrl"":"""",""title"":""New Anime"",""type"":""anime"",""year"":""2026""}";2026-08-08 11:34:50.143221+00;2026-08-08 11:34:50.602844+00
p1786101595415;Little_Singham_Bahubali_Friends_vs_Halaaku;movie;7;"{""allowComments"":true,""banner"":""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfqyZ1i79N_CP-NE0vcOuYIYidBUtJlPFr8F0VtO4gtok4lD0rXp48BEFh&s=10"",""comingSoon"":""11 December 2021"",""content"":"""",""downloadImage"":"""",""downloadUrl"":"""",""driveUrl"":"""",""duration"":""44 minutes"",""encodedBy"":""Anime Cartoon"",""episodes"":[],""fileSize"":""900MB"",""genres"":[""Animation"",""Kids""],""hidden"":false,""id"":""p1786101595415"",""languages"":""Hindi"",""ott"":""Discovery plus "",""poster"":""https://jiotvimages.cdn.jio.com/imagespublic/71/48/0503139eea6d54e99ccabd5ef683a9e7_1731650665694_p_medium.jpg"",""promoVideo"":"""",""quality"":""1080p FHD"",""releaseDate"":""11 December 2021"",""showViews"":true,""slug"":""Little_Singham_Bahubali_Friends_vs_Halaaku"",""telegramUrl"":"""",""title"":""Little Singham Bahubali Friends vs Halaaku Watch Online "",""type"":""movie"",""year"":""2021""}";2026-08-07 11:21:04.641679+00;2026-08-08 11:34:50.602844+00
p1786104920576;Chhota-Bheem-Mahavinashini-Ka-Vinaash;movie;11;"{""allowComments"":true,""banner"":""https://jiotvimages.cdn.jio.com/dare_images/shows/epgdata/0456fc52e559262346199d8fc952fc52.jpg?width=700"",""comingSoon"":""23 October 2022"",""content"":"""",""downloadImage"":""https://jiotvimages.cdn.jio.com/dare_images/shows/epgdata/0456fc52e559262346199d8fc952fc52.jpg?width=700"",""downloadUrl"":"""",""driveUrl"":"""",""duration"":""45 Minutes "",""encodedBy"":""Anime Cartoon"",""episodes"":[],""fileSize"":""1GB"",""genres"":[""Animation"",""Kids""],""hidden"":false,""id"":""p1786104920576"",""languages"":""Hindi + Tamil +  English (Multi Audio)"",""ott"":""Netflix"",""poster"":""https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p23745609_v_v12_aa.jpg"",""promoVideo"":"""",""quality"":""1080p FHD"",""releaseDate"":""23 October 2022"",""showViews"":true,""slug"":""Chhota-Bheem-Mahavinashini-Ka-Vinaash"",""telegramUrl"":"""",""title"":""Chhota Bheem Mahavinashini Ka Vinaash"",""type"":""movie"",""year"":""2022""}";2026-08-07 12:19:54.13944+00;2026-08-08 11:34:50.602844+00
p1786005593904;new-series-1786005593904;series;2;"{""allowComments"":true,""banner"":""https://iili.io/C88rs6B.md.jpg"",""content"":"""",""downloadImage"":""https://iili.io/C88rs6B.md.jpg"",""downloadUrl"":"""",""driveUrl"":"""",""duration"":"""",""encodedBy"":""Anime Cartoon"",""episodes"":[{""label"":""Episode 01"",""thumbnail"":""https://iili.io/C88rs6B.md.jpg"",""url"":""https://iili.io/C88rs6B.md.jpg""},{""label"":""Episode 02"",""thumbnail"":""https://iili.io/C88rs6B.md.jpg"",""url"":""https://drive.google.com/uc?id=1f8fwZkglsREPE8RrjDYHkjYr3DOTVrIM&export=download""},{""isNew"":true,""label"":""Episode 03"",""url"":""https://anime-cartoon.kesug.com/ls-vyomasur-ki-magical-book-360-720p-1080p/?i=2""}],""fileSize"":"""",""genres"":[""Animation"",""Kids""],""hidden"":true,""id"":""p1786005593904"",""languages"":""Hindi"",""ott"":"""",""poster"":""https://httpslittlesingham.wordpress.com/wp-content/uploads/2026/08/file_0000000031ac820b8426c5afffc662168819459155998140962.png"",""promoVideo"":"""",""quality"":""1080p FHD"",""releaseDate"":"""",""showViews"":true,""slug"":""new-series-1786005593904"",""telegramUrl"":"""",""title"":""New Series"",""type"":""series"",""year"":""2026""}";2026-08-06 08:40:42.264744+00;2026-08-08 11:34:50.602844+00
p1786100188604;Little Singham Kaal ka Badla;movie;5;"{""allowComments"":true,""banner"":""https://jiotvimages.cdn.jio.com/imagespublic/46/67/2de33e75a9d75aebab1a69ed29a47648_1732088863178_l_medium.jpg"",""comingSoon"":""23 May 2020"",""content"":"""",""downloadImage"":""https://jiotvimages.cdn.jio.com/imagespublic/46/67/2de33e75a9d75aebab1a69ed29a47648_1732088863178_l_medium.jpg"",""downloadUrl"":"""",""driveUrl"":"""",""duration"":"""",""encodedBy"":""Anime Cartoon"",""episodes"":[],""fileSize"":"""",""genres"":[""Animation"",""Kids""],""hidden"":false,""id"":""p1786100188604"",""languages"":""Hindi Tamil Telugu Kannada English "",""ott"":""Discovery plus "",""poster"":""https://jiotvimages.cdn.jio.com/imagespublic/46/67/2de33e75a9d75aebab1a69ed29a47648_1732088862026_p_medium.jpg"",""promoVideo"":"""",""quality"":""1080p FHD"",""releaseDate"":""23 May 2020"",""showViews"":true,""slug"":""Little Singham Kaal ka Badla"",""telegramUrl"":"""",""title"":""Little Singham Kaal ka Badla Full Movie"",""type"":""movie"",""year"":""2020""}";2026-08-07 11:04:36.120319+00;2026-08-08 11:34:50.602844+00
